pais-territorio,regiao,codigo-telefonico,continentes
Afeganistão,Ásia,+93,África
Albânia,Europa,+355,América do Norte
Algéria,África,+213,América do Sul
Samoa Americana,Oceânia,+1-684,Antártida
Andorra,Europa,+376,Ásia
Angola,África,+244,Europa
Anguila,América do Norte,+1-264,Oceânia
Antártida,Antártida,+672,Ásia/Europa
Antígua e Barbuda,América do Norte,+1-268,Africa/Ásia
Argentina,América do Sul,+54,
Arménia,Ásia/Europa,+374,
Aruba,América do Norte,+297,
Austrália,Oceânia,+61,
Áustria,Europa,+43,
Azerbaijão,Ásia/Europa,+994,
Bahamas,América do Norte,+1-242,
Bahrein,Ásia,+973,
Bangladesh,Ásia,+880,
Barbados,América do Norte,+1-246,
Bielorrússia,Europa,+375,
Bélgica,Europa,+32,
Belize,América do Norte,+501,
Benim,África,+229,
Bermudas,América do Norte,+1-441,
Butão,Ásia,+975,
Bolívia,América do Sul,+591,
Bósnia e Herzegovina,Europa,+387,
Botsuana,África,+267,
Brasil,América do Sul,+55,
Território Britânico do Oceano Índico,África,+246,
Ilhas Virgens Britânicas,América do Norte,+1-284,
Brunei,Ásia,+673,
Bulgária,Europa,+359,
Burquina Faso,África,+226,
Burundi,África,+257,
Camboja,Ásia,+855,
Camarões,África,+237,
Canadá,América do Norte,+1,
Cabo Verde,África,+238,
Ilhas Caimão,América do Norte,+1-345,
República Centro-Africana,África,+236,
Chade,África,+235,
Chile,América do Sul,+56,
China,Ásia,+86,
Ilha do Natal,Oceânia,+61,
Ilhas Cocos (Keeling),Oceânia,+61,
Colômbia,América do Sul,+57,
Comores,África,+269,
Ilhas Cook,Oceânia,+682,
Costa Rica,América do Norte,+506,
Croácia,Europa,+385,
Cuba,América do Norte,+53,
Chipre,Ásia/Europa,+357,
República Checa,Europa,+420,
República Democrática do Congo,África,+243,
Dinamarca,Europa,+45,
Djibouti,África,+253,
Dominica,América do Norte,+1-767,
República Dominicana,América do Norte,"+1-809, +1-829, +1-849",
Timor-Leste,Ásia,+670,
Equador,América do Sul,+593,
Egito,Africa/Ásia,+20,
El Salvador,América do Norte,+503,
Guiné Equatorial,África,+240,
Eritreia,África,+291,
Estónia,Europa,+372,
Etiópia,África,+251,
Ilhas Malvinas (Falkland),América do Sul,+500,
Ilhas Faroé,Europa,+298,
Fiji,Oceânia,+679,
Finlândia,Europa,+358,
França,Europa,+33,
Polinésia Francesa,Oceânia,+689,
Gabão,África,+241,
Gâmbia,África,+220,
Geórgia,Ásia/Europa,+995,
Alemanha,Europa,+49,
Gana,África,+233,
Gibraltar,Europa,+350,
Grécia,Europa,+30,
Gronelândia,América do Norte,+299,
Granada,América do Norte,+1-473,
Guame,Oceânia,+1-671,
Guatemala,América do Norte,+502,
Guiné,África,+224,
Guiné-Bissau,África,+245,
Guiana,América do Sul,+592,
Haiti,América do Norte,+509,
Honduras,América do Norte,+504,
Hong Kong,Ásia,+852,
Hungria,Europa,+36,
Islândia,Europa,+354,
Índia,Ásia,+91,
Indonésia,"Ásia, Oceânia",+62,
Irão,Ásia,+98,
Iraque,Ásia,+964,
Irlanda,Europa,+353,
Ilha de Man,Europa,+44,
Israel,Ásia,+972,
Itália,Europa,+39,
Costa do Marfim,África,+225,
Jamaica,América do Norte,"+1-876, +1-658",
Japão,Ásia,+81,
Jordânia,Ásia,+962,
Cazaquistão,Ásia/Europa,+7,
Quénia,África,+254,
Quiribati,Oceânia,+686,
Kuwait,Ásia,+965,
Quirguistão,Ásia,+996,
Laos,Ásia,+856,
Letónia,Europa,+371,
Líbano,Ásia,+961,
Lesoto,África,+266,
Libéria,África,+231,
Líbia,África,+218,
Listenstaine,Europa,+423,
Lituânia,Europa,+370,
Luxemburgo,Europa,+352,
Macau,Ásia,+853,
Macedónia do Norte,Europa,+389,
Madagáscar,África,+261,
Maláui,África,+265,
Malásia,Ásia,+60,
Maldivas,Ásia,+960,
Mali,África,+223,
Malta,Europa,+356,
Ilhas Marshall,Oceânia,+692,
Mauritânia,África,+222,
Maurícia,África,+230,
Mayotte,África,+262,
México,América do Norte,+52,
Micronésia,Oceânia,+691,
Moldávia,Europa,+373,
Mónaco,Europa,+377,
Mongólia,Ásia,+976,
Montenegro,Europa,+382,
Monserrate,América do Norte,+1-664,
Marrocos,África,+212,
Moçambique,África,+258,
Mianmar,Ásia,+95,
Namíbia,África,+264,
Nauru,Oceânia,+674,
Nepal,Ásia,+977,
Países Baixos,Europa,+31,
Antilhas Holandesas,América do Norte,+599,
